name,maj_axis,min_axis,mag,cat_num,in_maj,in_min
MCG-05-27-002,  8.00,  3.00,   15.0,,0,0
MCG-05-32-043,  7.00,  4.00,   15.0,,2,1.5
MCG-05-32-055,  6.00,  2.00,   15.0,,0,0
MCG-05-32-016,  0.00,  0.00,   13.0,NGC 5140,5,4
MCG-05-27-004,  6.00,  5.00,   15.0,,2,2
MCG-05-32-053,  7.00,  2.00,   15.0,,3,2
MCG-05-33-042, 12.00,  8.00,   15.0,IC 4366,0,0
MCG-05-33-031,  5.00,  5.00,   15.0,,2,2
MCG-05-32-011, 16.00,  4.00,   15.0,,2,1.5
MCG-05-32-063, 12.00,  9.00,   15.0,,4,1.5
MCG-05-23-015, 12.00,  7.00,   15.0,,4,1
MCG-05-33-041,  5.00,  4.00,   15.0,,2,1.5
MCG-05-25-001, 16.00,  8.00,   14.0,IC 2560,3,2
MCG-05-30-001,  0.00,  0.00,   16.0,,1,1
MCG-05-32-054,  8.00,  2.00,   15.0,,0,0
MCG-05-29-034, 20.00, 20.00,   13.0,NGC 4304,3,2
MCG-05-32-041,  9.00,  3.00,   15.0,NGC 5215,2.5,2
MCG-05-32-040,  8.00,  2.00,   15.0,NGC 5215,2.5,2
MCG-05-34-014,  8.00,  6.00,   14.0,,4,2.5
MCG-05-32-046, 14.00,  2.00,   15.0,,5,2
MCG-05-33-038, 12.00, 10.00,   15.0,,1,1
MCG-05-34-008,  6.00,  6.00,   15.0,,1,1
MCG-05-33-039,  3.00,  3.00,   15.0,,2,1.5
MCG-05-35-003,  9.00,  8.00,   15.0,,4,2
MCG-05-34-013,  6.00,  4.00,   16.0,,0,0
MCG-05-33-048, 14.00,  4.00,   14.0,IC 4375,2.5,2
MCG-05-25-039, 10.00,  3.00,   15.0,,4,3
MCG-05-32-036,  6.00,  2.00,   15.0,,2,2
MCG-05-32-037,  0.00,  0.00,   13.0,NGC 5193,5,4
MCG-05-24-005, 10.00,  5.00,   14.0,IC 2523,0,0
MCG-05-30-003,  8.00,  5.00,   17.0,,0,0
MCG-05-32-031, 53.00, 20.00,   12.0,NGC 5161,8,6
MCG-05-26-015,  8.00,  5.00,   15.0,,0,0
MCG-05-27-017,  6.00,  4.00,   15.0,,1,0.7
MCG-05-22-001, 20.00, 10.00,   15.0,,0,0
MCG-05-24-004, 20.00, 12.00,   13.0,IC 2522,8,5
MCG-05-26-012, 11.00,  5.00,   14.0,,3,2.5
MCG-05-31-020, 12.00,  2.00,   15.0,,1,0.7
MCG-05-24-002, 16.00,  6.00,   14.0,,2,1
MCG-05-33-037, 25.00, 20.00,   14.0,NGC 5398,0,0
MCG-05-23-006, 60.00,  8.00,   13.0,,0,0
MCG-05-32-048,  8.00,  7.00,   15.0,,1.5,1
MCG-05-32-052,  8.00,  4.00,   14.0,,3,2
MCG-05-14-017,  4.00,  4.00,   15.0,,1.5,1.5
MCG-05-12-006,  4.00,  2.00,   15.0,,2,1.5
MCG-05-14-008,  4.00,  4.00,   15.0,,0,0
MCG-05-26-010, 20.00,  8.00,   13.0,NGC 3449,7,3
MCG-05-21-002,  5.00,  3.00,   15.0,,3,2
MCG-05-22-005,  8.00,  5.00,   16.0,,0,0
MCG-05-16-007,  6.00,  5.00,   15.0,,2,2
MCG-05-23-019, 14.00,  2.50,   14.0,IC 2514,4,2.5
MCG-05-25-003,  7.00,  6.00,   15.0,IC 2576,4,2
MCG-05-31-027,  8.00,  8.00,   16.0,,0.7,0.7
MCG-05-33-002, 10.00,  6.00,   17.0,,1,1
MCG-05-11-002, 40.00, 13.00,   11.0,NGC 1532,3,3
MCG-05-15-005,  7.00,  5.00,   15.0,,2.3,2
MCG-05-11-001,  6.00,  4.00,   13.0,NGC 1531,0,0
MCG-05-23-018, 16.00,  4.00,   14.0,IC 2511,4,2
MCG-05-23-017,  9.00,  5.00,   14.0,IC 2510,2,1
MCG-05-28-013,  7.00,  5.00,   15.0,,1.5,1
MCG-05-27-008, 90.00, 40.00,   10.0,NGC 3621,40,15
MCG-05-31-011,  7.00,  4.00,   15.0,,2,2
MCG-05-12-002,  3.00,  3.00,   16.0,,1,1
